iter	Logloss
0	0.6910952365
1	0.6890314706
2	0.6870359448
3	0.6849399526
4	0.6828169981
5	0.680758753
6	0.6786099919
7	0.676457379
8	0.6743593325
9	0.6722212279
10	0.6702265366
11	0.6685004405
12	0.666515186
13	0.6646606983
14	0.662625307
15	0.6606716368
16	0.6589486221
17	0.6570168427
18	0.6551305139
19	0.6535098272
20	0.6519199545
21	0.6502509285
22	0.6486062968
23	0.6468086224
24	0.6450817559
25	0.6433208015
26	0.6415510522
27	0.6398883815
28	0.6382445844
29	0.6365623982
30	0.6349085865
31	0.6334983336
32	0.6317784645
33	0.6301446819
34	0.6285765716
35	0.6268735859
36	0.6252901328
37	0.6238504783
38	0.6221548751
39	0.6207772979
40	0.6191851142
41	0.6176059622
42	0.6162612532
43	0.6146496823
44	0.6129257689
45	0.6114341157
46	0.6099762938
47	0.6086410858
48	0.6071786417
49	0.6057873266
50	0.6044162331
51	0.6030785215
52	0.6018577103
53	0.6005759132
54	0.5992328091
55	0.5978929148
56	0.5966107325
57	0.5952375847
58	0.5939691403
59	0.5924659961
60	0.5912687448
61	0.5900691183
62	0.5889076883
63	0.5878031999
64	0.5866825342
65	0.5854420149
66	0.5843716145
67	0.5832278383
68	0.5821008814
69	0.5809611495
70	0.5797522788
71	0.578678476
72	0.5774002096
73	0.5761616162
74	0.5751290913
75	0.5739766487
76	0.5728646494
77	0.5719931275
78	0.5709195814
79	0.5699276924
80	0.5689066586
81	0.5677171108
82	0.5665730778
83	0.5655247607
84	0.5642720443
85	0.563137448
86	0.5623263986
87	0.5613110139
88	0.5603344035
89	0.5593441836
90	0.558438317
91	0.5573581588
92	0.5563590157
93	0.5555037995
94	0.5546058931
95	0.5537299417
96	0.5527313764
97	0.5517240162
98	0.5508481932
99	0.5498919328
100	0.5489837551
101	0.5480377019
102	0.5471295884
103	0.5462404769
104	0.5454140204
105	0.5446859119
106	0.5437851167
107	0.5430093107
108	0.5420759041
109	0.5413072238
110	0.540355393
111	0.5396280548
112	0.5387556341
113	0.5380636036
114	0.5371272761
115	0.5364048489
116	0.5356132828
117	0.5346257912
118	0.5338242748
119	0.5329515974
120	0.5321624708
121	0.5313204789
122	0.5305858866
123	0.5299359365
124	0.5291279363
125	0.5283493699
126	0.5275441622
127	0.5268228263
128	0.5260328973
129	0.5253762065
130	0.5246631198
131	0.5240661953
132	0.5233704415
133	0.5226942031
134	0.5220219128
135	0.5213231418
136	0.5207241952
137	0.5199084915
138	0.519275168
139	0.5185327117
140	0.5178279705
141	0.5173252854
142	0.5166484693
143	0.5160450932
144	0.5153299522
145	0.5145931772
146	0.5138646835
147	0.5132397376
148	0.5126080511
149	0.5120406888
150	0.5115588674
151	0.510961301
152	0.5102681792
153	0.5097157745
154	0.5090278846
155	0.5083223409
156	0.5077472109
157	0.5070299835
158	0.5065538755
159	0.5061072334
160	0.5055282838
161	0.5050200458
162	0.5043875248
163	0.5038452951
164	0.5033141392
165	0.5027826945
166	0.5022920461
167	0.5018251823
168	0.5012370527
169	0.5007614582
170	0.5002693655
171	0.4998198345
172	0.4992590523
173	0.4987421479
174	0.4983229495
175	0.4978996104
176	0.4973356826
177	0.4968206077
178	0.4962162366
179	0.4957170823
180	0.4950951536
181	0.4946681553
182	0.4942716822
183	0.4936930856
184	0.4932267033
185	0.4926843773
186	0.4922089113
187	0.4917003202
188	0.4911891292
189	0.4906765901
190	0.4901144598
191	0.4895723585
192	0.4891860283
193	0.4886313768
194	0.4881070257
195	0.4876304683
196	0.4872195511
197	0.4868207027
198	0.4863907194
199	0.4859901698
200	0.4856097135
201	0.4851363018
202	0.4847044247
203	0.4843237758
204	0.4838770694
205	0.4833190797
206	0.482937821
207	0.482480073
208	0.481982331
209	0.4816142003
210	0.4811285271
211	0.4806438811
212	0.4802648692
213	0.4798726972
214	0.4795159934
215	0.4791100192
216	0.4786699251
217	0.4781988564
218	0.477670461
219	0.4772528032
220	0.4767936108
221	0.4763783925
222	0.4759817268
223	0.4755338007
224	0.4752055998
225	0.4748541279
226	0.4744706865
227	0.4740620804
228	0.4737275883
229	0.4733199451
230	0.4729322347
231	0.4725845503
232	0.4722559321
233	0.4718112801
234	0.4715087575
235	0.4710659992
236	0.4706481488
237	0.4701940921
238	0.4698927571
239	0.4694678131
240	0.4690619674
241	0.4686000467
242	0.4680663872
243	0.4677668176
244	0.4673668458
245	0.4670449681
246	0.4667681559
247	0.4664201185
248	0.4659935696
249	0.4656866496
250	0.4653051341
251	0.4649760023
252	0.4645844081
253	0.4642759153
254	0.4639909823
255	0.4635530066
256	0.4632405336
257	0.4629594203
258	0.4626285232
259	0.4621391266
260	0.4617644159
261	0.4613848262
262	0.4610672497
263	0.4608081876
264	0.4604735671
265	0.4601955994
266	0.4598678158
267	0.4594760931
268	0.4591560129
269	0.45881141
270	0.4585507751
271	0.4582444971
272	0.4579356191
273	0.4575900532
274	0.457255529
275	0.4569994841
276	0.4566678166
277	0.4563740246
278	0.4561076443
279	0.4557630734
280	0.4554682864
281	0.4550421548
282	0.4547309979
283	0.4544022834
284	0.4541490631
285	0.4539356121
286	0.45364243
287	0.4533170216
288	0.4530953536
289	0.4528629007
290	0.4526341069
291	0.4523966788
292	0.4521916375
293	0.4518826311
294	0.4514907801
295	0.4511429994
296	0.4509253757
297	0.450707399
298	0.4504024048
299	0.4501574658
300	0.4498526322
301	0.4494472679
302	0.4491287606
303	0.4488878338
304	0.448699034
305	0.4483838969
306	0.4480801867
307	0.4477542005
308	0.447400899
309	0.4470237809
310	0.4467699508
311	0.4465136492
312	0.446233563
313	0.4460058927
314	0.4457422406
315	0.4455483693
316	0.4453601794
317	0.4451656983
318	0.4448357962
319	0.4444974202
320	0.4442914481
321	0.4440900338
322	0.4437863236
323	0.4435117903
324	0.4432454741
325	0.4429541537
326	0.4427736993
327	0.4425997288
328	0.4423826829
329	0.4421900313
330	0.4418788744
331	0.4417061556
332	0.4414759175
333	0.4412129074
334	0.4409538132
335	0.4406716085
336	0.4404890357
337	0.4402143099
338	0.4400439343
339	0.4398809091
340	0.4396937142
341	0.4394401088
342	0.4392488375
343	0.4390242164
344	0.43877289
345	0.4386058205
346	0.4383662418
347	0.4381595635
348	0.4379530457
349	0.4377382466
350	0.4375377632
351	0.4374096926
352	0.4372095943
353	0.4370530529
354	0.4368058671
355	0.4365019964
356	0.4362510872
357	0.4360704723
358	0.4358665223
359	0.4356328176
360	0.4354340033
361	0.4352854542
362	0.4351307424
363	0.4349744578
364	0.4347781792
365	0.4345455337
366	0.4343792666
367	0.4341966617
368	0.4340447745
369	0.4338359777
370	0.4336258007
371	0.4334058018
372	0.4332096516
373	0.4329764604
374	0.4327499456
375	0.4325949449
376	0.4323050047
377	0.4321690701
378	0.4320136842
379	0.4317741377
380	0.4315289098
381	0.4311876771
382	0.4309336544
383	0.4306834514
384	0.4304925973
385	0.430339683
386	0.4300994624
387	0.4299266473
388	0.4297476053
389	0.4295751754
390	0.4294229672
391	0.4292771144
392	0.4291252914
393	0.4289411137
394	0.428728722
395	0.4285820988
396	0.4283476879
397	0.4282154767
398	0.4280836507
399	0.4279654663
400	0.4278001621
401	0.4276684966
402	0.4275456259
403	0.4274024051
404	0.4272469229
405	0.4270367459
406	0.4268342403
407	0.4267188805
408	0.4265338362
409	0.426406568
410	0.426263251
411	0.4260829892
412	0.4259555606
413	0.4257727952
414	0.4256570502
415	0.4255353992
416	0.425368747
417	0.4252319137
418	0.4251016283
419	0.4249118014
420	0.4247626425
421	0.4245610999
422	0.4243455304
423	0.4241634712
424	0.4239035425
425	0.4237441765
426	0.4235192666
427	0.4234129584
428	0.4232449901
429	0.4230568002
430	0.4228485491
431	0.4226628628
432	0.4224887638
433	0.4223007665
434	0.4221674318
435	0.4219828048
436	0.4217382831
437	0.421581517
438	0.4214750162
439	0.4213784657
440	0.4212249736
441	0.4210924093
442	0.4209317915
443	0.420801795
444	0.4206254813
445	0.4205008773
446	0.4203536764
447	0.4201707184
448	0.4200649238
449	0.4198998443
450	0.4197906473
451	0.4196832157
452	0.419484626
453	0.419308537
454	0.4191624274
455	0.4190600351
456	0.4189194464
457	0.4188074247
458	0.4187331823
459	0.4186303086
460	0.4184482814
461	0.4182775849
462	0.4181039353
463	0.4179432853
464	0.4178659294
465	0.4176940452
466	0.4175469727
467	0.4174220798
468	0.4173010708
469	0.4171582031
470	0.4170510282
471	0.4169445274
472	0.4168669789
473	0.4167419576
474	0.4166422937
475	0.4165422124
476	0.4163814662
477	0.4162917847
478	0.416144648
479	0.4160568924
480	0.4159436831
