iter	Passed	Remaining
0	37	37735
1	50	25194
2	58	19400
3	66	16472
4	73	14687
5	80	13401
6	85	12119
7	90	11198
8	94	10439
9	99	9828
10	104	9354
11	108	8945
12	113	8599
13	117	8291
14	122	8031
15	126	7800
16	131	7601
17	136	7427
18	140	7277
19	145	7123
20	150	6995
21	154	6878
22	159	6772
23	163	6667
24	168	6579
25	173	6489
26	177	6406
27	182	6346
28	187	6280
29	192	6221
30	197	6162
31	201	6101
32	206	6043
33	210	5994
34	215	5945
35	220	5902
36	225	5858
37	230	5825
38	234	5784
39	239	5742
40	243	5705
41	248	5669
42	253	5635
43	257	5600
44	262	5573
45	267	5541
46	271	5511
47	276	5488
48	281	5461
49	285	5432
50	290	5409
51	295	5384
52	300	5362
53	304	5338
54	309	5319
55	314	5297
56	318	5274
57	323	5256
58	328	5235
59	332	5214
60	337	5194
61	342	5175
62	346	5154
63	351	5135
64	356	5121
65	360	5103
66	365	5085
67	369	5068
68	374	5054
69	379	5039
70	384	5025
71	388	5011
72	393	4997
73	398	4980
74	402	4966
75	407	4951
76	411	4935
77	416	4922
78	421	4910
79	425	4896
80	430	4882
81	434	4868
82	439	4854
83	443	4841
84	448	4829
85	453	4815
86	457	4804
87	462	4793
88	467	4785
89	471	4772
90	476	4761
91	481	4750
92	485	4739
93	490	4727
94	495	4718
95	500	4708
96	504	4697
97	509	4689
98	514	4679
99	518	4669
100	523	4660
101	528	4649
102	532	4640
103	537	4630
104	542	4621
105	546	4611
106	551	4601
107	556	4593
108	560	4585
109	565	4579
110	570	4570
111	575	4560
112	579	4551
113	584	4543
114	589	4536
115	594	4526
116	598	4519
117	603	4511
118	608	4502
119	612	4494
120	617	4486
121	622	4482
122	627	4474
123	632	4468
124	637	4459
125	641	4450
126	646	4442
127	651	4436
128	655	4428
129	660	4419
130	665	4413
131	669	4405
132	674	4397
133	679	4391
134	684	4385
135	689	4378
136	693	4370
137	699	4366
138	703	4359
139	708	4352
140	713	4345
141	718	4339
142	722	4332
143	727	4326
144	732	4321
145	737	4314
146	742	4308
147	747	4303
148	752	4296
149	757	4291
150	762	4284
151	766	4278
152	771	4271
153	776	4266
154	781	4262
155	786	4256
156	791	4251
157	796	4246
158	801	4239
159	806	4233
160	811	4227
161	815	4220
162	820	4215
163	825	4210
164	830	4204
165	835	4199
166	840	4193
167	845	4186
168	850	4181
169	855	4175
170	860	4169
171	864	4163
172	869	4158
173	874	4152
174	879	4147
175	884	4141
176	889	4135
177	894	4129
178	898	4123
179	903	4117
180	908	4112
181	913	4105
182	918	4100
183	923	4094
184	928	4089
185	933	4083
186	938	4078
187	943	4073
188	948	4068
189	953	4063
190	958	4058
191	963	4053
192	968	4047
193	973	4042
194	978	4039
195	984	4037
196	989	4032
197	994	4028
198	999	4023
199	1004	4019
200	1010	4015
201	1015	4010
202	1020	4005
203	1025	4001
204	1030	3997
205	1035	3992
206	1040	3987
207	1046	3983
208	1051	3977
209	1056	3974
210	1061	3969
211	1066	3964
212	1071	3959
213	1076	3955
214	1082	3950
215	1087	3946
216	1092	3940
217	1097	3935
218	1102	3930
219	1107	3926
220	1112	3920
221	1117	3915
222	1122	3910
223	1126	3904
224	1131	3897
225	1136	3891
226	1140	3885
227	1145	3879
228	1150	3874
229	1156	3870
230	1160	3863
231	1165	3858
232	1170	3853
233	1175	3847
234	1180	3842
235	1185	3837
236	1190	3831
237	1194	3825
238	1199	3819
239	1204	3813
240	1209	3808
241	1214	3804
242	1219	3798
243	1224	3792
244	1229	3787
245	1233	3781
246	1238	3776
247	1243	3771
248	1248	3766
249	1253	3761
250	1258	3756
251	1263	3751
252	1268	3745
253	1273	3741
254	1278	3736
255	1284	3733
256	1289	3727
257	1294	3721
258	1298	3715
259	1303	3711
260	1308	3706
261	1313	3700
262	1318	3694
263	1323	3689
264	1328	3684
265	1333	3679
266	1338	3674
267	1343	3669
268	1348	3664
269	1354	3663
270	1360	3660
271	1367	3659
272	1372	3655
273	1377	3649
274	1382	3645
275	1387	3640
276	1394	3638
277	1412	3668
278	1417	3662
279	1422	3657
280	1427	3651
281	1432	3647
282	1437	3642
283	1442	3637
284	1447	3631
285	1452	3625
286	1456	3619
287	1462	3614
288	1467	3610
289	1472	3605
290	1477	3599
291	1482	3594
292	1487	3588
293	1491	3582
294	1496	3576
295	1501	3570
296	1505	3564
297	1511	3559
298	1516	3556
299	1521	3551
300	1526	3545
301	1531	3540
302	1536	3535
303	1542	3530
304	1546	3524
305	1551	3519
306	1556	3513
307	1561	3509
308	1566	3503
309	1571	3497
310	1575	3491
311	1580	3486
312	1585	3480
313	1590	3474
314	1594	3468
315	1599	3462
316	1604	3456
317	1609	3450
318	1614	3445
319	1618	3439
320	1623	3433
321	1628	3428
322	1633	3423
323	1638	3418
324	1643	3413
325	1648	3408
326	1653	3402
327	1658	3397
328	1663	3391
329	1667	3385
330	1672	3380
331	1677	3374
332	1682	3369
333	1686	3363
334	1691	3357
335	1696	3352
336	1700	3346
337	1705	3341
338	1711	3336
339	1716	3331
340	1721	3326
341	1726	3321
342	1731	3316
343	1735	3310
344	1740	3304
345	1745	3298
346	1750	3293
347	1754	3288
348	1760	3283
349	1765	3278
350	1769	3272
351	1774	3266
352	1779	3260
353	1784	3255
354	1789	3250
355	1794	3245
356	1799	3240
357	1804	3235
358	1808	3229
359	1813	3224
360	1818	3218
361	1822	3212
362	1827	3207
363	1832	3202
